name,description,price,stock_quantity,image_url,weight,length,width,height,origin_zip,category_id,subcategory_id
SAPATO SOCIAL CLASSE A 1441,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1441.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1445,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1445.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1446,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1446.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1452,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1452.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1455,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1455.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1466,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1466.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1458,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1458.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATÊNIS CLASSE A 1066,Produtos Classe A,340.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/09/B-1066.jpg.jpg,1.0,33,11,12,82820-160,12,21
SAPATÊNIS CLASSE A 1067,Produtos Classe A,340.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/09/B-1067.jpg.jpg,1.0,33,11,12,82820-160,12,21
SAPATÊNIS CLASSE A 1068,Produtos Classe A,340.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/09/B-1068.jpg.jpg,1.0,33,11,12,82820-160,12,21
SAPATO SOCIAL CLASSE A 1381,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1381.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1382,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1382.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1386,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1386.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1390,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1390.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1393,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1393.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1395,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1395.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1396,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1396.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1400,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1400.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1401,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1401.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1402,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1402.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1405,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1405.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1406,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1406.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1407,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1407.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
SAPATO SOCIAL CLASSE A 1411,Produtos Classe A,360.0,0,"https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/C-1411.jpg.jpg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/TIPOS-DE-BICOS.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-QUADRADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-FINO-TRADICIONAL.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS.-BICO-ALONGADO.jpeg, https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/POSIILIDADES-DE-SOLADOS-BICO-EXTRA-FINO.jpeg",1.0,33,11,12,82820-160,12,23
